Title,Recommendations
Full Spectrum Warrior,"['The Witcher 3: Wild Hunt', 'The Last of Us', 'Grand Theft Auto V', '""Uncharted 4: A Thiefs End""', 'Battlefield 3']"
Battlefield 1942: The Road to Rome,"['Grand Theft Auto V', '""Uncharted 4: A Thiefs End""', 'Battlefield 3', 'Portal 2', 'The Elder Scrolls V: Skyrim']"
Tom Clancy's Ghost Recon,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Breath of the Wild', '""Uncharted 4: A Thiefs End""', 'Grand Theft Auto V']"
Poseidon,"['Super Mario 3D World', 'Super Smash Bros. for Wii U', 'The Legend of Zelda: Breath of the Wild', 'Mario Kart 8', 'Pikmin 3']"
Tom Clancy's Splinter Cell: Blacklist,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Legend of Zelda: Breath of the Wild', 'The Last of Us']"
FIFA 16,"['The Legend of Zelda: Breath of the Wild', '""Uncharted 4: A Thiefs End""', 'The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'Portal 2']"
FIFA 18,"['Pro Evolution Soccer 2016', 'Pro Evolution Soccer 2015', 'The Witcher 3: Wild Hunt', 'Grand Theft Auto V', 'The Last of Us']"
Vanquish,"['Grand Theft Auto V', 'The Last of Us', 'The Elder Scrolls V: Skyrim', 'Battlefield 3', 'BioShock Infinite']"
Tiger Woods PGA Tour 09,"['The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Breath of the Wild', 'Tiger Woods PGA Tour 10', 'The Witcher 3: Wild Hunt', 'Grand Theft Auto V']"
Shin Megami Tensei IV: Apocalypse,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'Grand Theft Auto V', 'BioShock Infinite', 'The Elder Scrolls V: Skyrim']"
Star Wars: Battlefront II,"['The Legend of Zelda: Breath of the Wild', 'The Elder Scrolls V: Skyrim', 'The Witcher 3: Wild Hunt', 'Portal 2', '""Uncharted 4: A Thiefs End""']"
Darwinia,"['""Uncharted 4: A Thiefs End""', 'The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'The Last of Us', 'Grand Theft Auto V']"
WWE SmackDown! vs. Raw 2006,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim', 'WWE SmackDown! Here Comes the Pain', 'WWE SmackDown vs. Raw 2010']"
Ultimate General: Gettysburg,"['The Elder Scrolls V: Skyrim', 'The Last of Us', 'God of War', 'Gears of War 2', 'God of War III']"
Trine 2: Complete Story,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Breath of the Wild', '""Uncharted 4: A Thiefs End""', 'Super Mario 3D World']"
Jak 3,"['The Witcher 3: Wild Hunt', 'The Last of Us', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim', 'Grand Theft Auto V']"
Onimusha 2: Samurai's Destiny,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'The Legend of Zelda: Breath of the Wild', 'The Elder Scrolls V: Skyrim']"
Spy Hunter,"['Super Mario 64', 'Battlefield 3', 'The Witcher 3: Wild Hunt', 'The Legend of Zelda: Skyward Sword', 'The Orange Box']"
Resident Evil Code: Veronica X,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'Resident Evil 7: biohazard', 'Resident Evil 4', 'Resident Evil 5']"
ChuChu Rocket!,"['The Legend of Zelda: Breath of the Wild', 'Portal 2', 'The Legend of Zelda: Skyward Sword', 'The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim']"
Ecco the Dolphin: Defender of the Future,"['The Witcher 3: Wild Hunt', 'Grand Theft Auto V', 'The Legend of Zelda: Skyward Sword', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim']"
Prince of Persia: Warrior Within,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'Bloodborne']"
Just Shapes & Beats,"['Portal 2', 'The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim', 'Grand Theft Auto V']"
Assassin's Creed Origins: The Curse of the Pharaohs,"['""Assassins Creed Origins""', 'The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', '""Assassins Creed IV: Black Flag""', '""Assassins Creed III""']"
Borderlands 2: Mr. Torgue's Campaign of Carnage,"['Half-Life 2', 'Batman: Arkham City', 'BioShock Infinite', 'Metal Gear Solid V: The Phantom Pain', 'South Park: The Stick of Truth']"
Final Fantasy XV,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'Final Fantasy IX', 'Final Fantasy XIII', 'The Last of Us']"
Final Fantasy XI: Treasures of Aht Urhgan,"['The Witcher 3: Wild Hunt', 'Portal 2', 'Destiny: The Taken King', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Breath of the Wild']"
Lumines Remastered,"['The Witcher 3: Wild Hunt', 'The Legend of Zelda: Breath of the Wild', 'The Legend of Zelda: Skyward Sword', 'Super Smash Bros. Brawl', 'Resident Evil 4']"
Pro Evolution Soccer 2018,"['Grand Theft Auto V', 'The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'Super Smash Bros. Brawl']"
Grim Dawn,"['Diablo III', 'Torchlight II', 'Path of Exile', 'The Witcher 3: Wild Hunt', 'The Legend of Zelda: Breath of the Wild']"
Super Puzzle Fighter II Turbo,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Breath of the Wild', 'Persona 5', '""Uncharted 4: A Thiefs End""']"
BlazBlue: Chrono Phantasma,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'Grand Theft Auto V', 'The Elder Scrolls V: Skyrim']"
Dungeons & Dragons: Chronicles of Mystara,"['The Witcher 3: Wild Hunt', 'Portal 2', 'The Elder Scrolls V: Skyrim', 'Call of Duty: Modern Warfare 3', 'The Legend of Zelda: Breath of the Wild']"
Marvel Pinball,"['The Witcher 3: Wild Hunt', 'The Legend of Zelda: Breath of the Wild', 'God of War', 'The Last of Us', 'Grand Theft Auto V']"
Resident Evil 0,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Legend of Zelda: Breath of the Wild', 'Resident Evil 7: biohazard']"
Virtua Tennis,"['Grand Theft Auto V', 'The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'The Elder Scrolls V: Skyrim']"
Sega Sports Tennis,"['Grand Theft Auto V', 'The Witcher 3: Wild Hunt', 'Portal 2', 'The Elder Scrolls V: Skyrim', 'Super Smash Bros. for Wii U']"
MDK2,"['""Uncharted 4: A Thiefs End""', 'The Last of Us', 'The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'BioShock Infinite']"
Kid Icarus: Uprising,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Legend of Zelda: Breath of the Wild', 'The Last of Us']"
Gunpoint,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Breath of the Wild', 'The Last of Us']"
Detention,"['The Witcher 3: Wild Hunt', 'The Legend of Zelda: Breath of the Wild', 'The Elder Scrolls V: Skyrim', 'BioShock Infinite', '""Uncharted 4: A Thiefs End""']"
Sly 3: Honor Among Thieves,"['The Elder Scrolls V: Skyrim', 'The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Legend of Zelda: Breath of the Wild', 'Portal 2']"
NHL 2K6,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Breath of the Wild', '""Uncharted 4: A Thiefs End""', 'Grand Theft Auto V']"
LocoRoco,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'The Legend of Zelda: Breath of the Wild']"
MLB 06: The Show,"['Grand Theft Auto V', 'The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim', 'Gran Turismo 5']"
Anno 2070,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Legend of Zelda: Breath of the Wild', 'The Last of Us']"
SMITE,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Legend of Zelda: Breath of the Wild', 'The Last of Us']"
Donkey Kong Country Returns 3D,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'Grand Theft Auto V']"
Unreal Championship,"['The Elder Scrolls V: Skyrim', 'The Witcher 3: Wild Hunt', 'Grand Theft Auto V', 'BioShock Infinite', 'Portal 2']"
Guild Wars 2: Path of Fire,"['The Witcher 3: Wild Hunt', 'The Legend of Zelda: Breath of the Wild', 'Destiny: The Taken King', 'The Elder Scrolls V: Skyrim', 'World of Warcraft: Warlords of Draenor']"
Fallout 3: Point Lookout,"['The Witcher 3: Wild Hunt', 'Fallout 4', 'The Elder Scrolls V: Skyrim', 'Mass Effect 3', 'The Legend of Zelda: Breath of the Wild']"
No More Heroes,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim', 'The Last of Us', 'The Legend of Zelda: Breath of the Wild']"
Shin Megami Tensei IV,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Legend of Zelda: Breath of the Wild', 'The Last of Us']"
Silent Storm,"['The Witcher 3: Wild Hunt', 'Persona 5', 'Divinity: Original Sin', 'Grand Theft Auto V', 'The Elder Scrolls V: Skyrim']"
Command & Conquer: Generals - Zero Hour,"['The Witcher 3: Wild Hunt', 'The Legend of Zelda: Breath of the Wild', 'The Elder Scrolls V: Skyrim', 'Destiny: The Taken King', '""Uncharted 4: A Thiefs End""']"
Homeworld 2,"['Grand Theft Auto V', 'Mass Effect 2', 'The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim']"
Wakeboarding Unleashed Featuring Shaun Murray,"['The Witcher 3: Wild Hunt', 'Portal 2', 'BioShock Infinite', 'Half-Life 2', 'The Orange Box']"
Galactic Civilizations,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Breath of the Wild', 'Call of Duty: Modern Warfare 3', 'Starcraft II: Wings of Liberty']"
Rygar: The Legendary Adventure,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim', 'BioShock Infinite', 'The Last of Us']"
EverQuest: The Shadows of Luclin,"['The Witcher 3: Wild Hunt', 'The Legend of Zelda: Breath of the Wild', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'BioShock Infinite']"
Halo 3: ODST,"['Halo 4', 'Halo 3', 'Halo: The Master Chief Collection', 'The Witcher 3: Wild Hunt', 'Mass Effect 3']"
Ghost Trick: Phantom Detective,"['""Uncharted 4: A Thiefs End""', 'The Last of Us', 'The Witcher 3: Wild Hunt', 'Grand Theft Auto V', 'Portal 2']"
PixelJunk Monsters,"['The Legend of Zelda: Breath of the Wild', 'The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'The Elder Scrolls V: Skyrim']"
MLB Power Pros,"['The Witcher 3: Wild Hunt', 'Portal 2', 'Grand Theft Auto V', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Breath of the Wild']"
Orcs Must Die!,"['The Last of Us', 'The Witcher 3: Wild Hunt', 'Orcs Must Die! 2', 'BioShock Infinite', 'The Elder Scrolls V: Skyrim']"
Persona Q: Shadow of the Labyrinth,"['The Witcher 3: Wild Hunt', 'Persona 5', 'The Elder Scrolls V: Skyrim', 'Persona 4 Golden', 'Persona 4 Arena']"
Comet Crash,"['Dungeon Defenders', 'Plants vs. Zombies', 'Defense Grid: The Awakening', '""Uncharted 4: A Thiefs End""', 'Portal 2']"
Fable: The Lost Chapters,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Legend of Zelda: Breath of the Wild', 'The Last of Us']"
Mega Man 9,"['The Witcher 3: Wild Hunt', 'The Legend of Zelda: Breath of the Wild', '""Uncharted 4: A Thiefs End""', 'Grand Theft Auto V', 'Portal 2']"
Prey: Mooncrash,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'DOOM', 'Persona 5', '""Uncharted 4: A Thiefs End""']"
Racing Gears Advance,"['""Uncharted 4: A Thiefs End""', 'Gran Turismo 5', 'Burnout 3: Takedown', 'Forza Horizon 2', 'The Witcher 3: Wild Hunt']"
Dead or Alive Ultimate,"['The Witcher 3: Wild Hunt', 'Super Smash Bros. Brawl', 'The Legend of Zelda: Breath of the Wild', 'The Elder Scrolls V: Skyrim', 'Portal 2']"
Call of Duty: Black Ops II,"['Super Mario 3D World', 'Super Smash Bros. Brawl', 'Super Smash Bros. for Wii U', 'Grand Theft Auto V', 'The Legend of Zelda: Breath of the Wild']"
Bushido Blade,"['The Witcher 3: Wild Hunt', 'The Legend of Zelda: Breath of the Wild', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'Grand Theft Auto V']"
NBA 2K10,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'Grand Theft Auto V', '""Uncharted 4: A Thiefs End""', 'The Last of Us']"
Resident Evil HD Remaster,"['Resident Evil 7: biohazard', 'Resident Evil 4', 'The Witcher 3: Wild Hunt', 'Resident Evil 5', 'The Last of Us']"
Devil Daggers,"['The Witcher 3: Wild Hunt', 'Call of Duty: Modern Warfare 3', 'Team Fortress 2', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim']"
Puyo Puyo Tetris,"['Call of Duty: Modern Warfare 3', 'Portal 2', 'Grand Theft Auto V', 'Super Smash Bros. Brawl', 'Super Smash Bros. for Wii U']"
NBA Ballers,"['Bloodborne', '""Uncharted 4: A Thiefs End""', 'The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'Battlefield 3']"
Genma Onimusha,"['The Witcher 3: Wild Hunt', 'Portal 2', 'God of War', 'Battlefield 3', 'The Elder Scrolls V: Skyrim']"
Space Station Silicon Valley,"['The Witcher 3: Wild Hunt', 'The Last of Us', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'Grand Theft Auto V']"
The Elder Scrolls Online: Summerset,"['The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Witcher 3: Wild Hunt', 'BioShock Infinite', 'The Legend of Zelda: Breath of the Wild']"
The Blackwell Epiphany,"['""Uncharted 4: A Thiefs End""', 'The Witcher 3: Wild Hunt', 'Grand Theft Auto V', 'The Last of Us', 'The Elder Scrolls V: Skyrim']"
This page isn’t working,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'Gran Turismo 5']"
Tomb Raider: Anniversary,"['""Uncharted 4: A Thiefs End""', 'Tomb Raider', 'Rise of the Tomb Raider', 'Tomb Raider: Definitive Edition', 'Rise of the Tomb Raider: 20 Year Celebration']"
Need for Speed: Most Wanted,"['Grand Theft Auto V', 'The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'The Elder Scrolls V: Skyrim']"
Bangai-O Spirits,"['The Witcher 3: Wild Hunt', 'The Legend of Zelda: Breath of the Wild', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Last of Us']"
The Forest,"['The Last of Us', 'Minecraft', 'The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim']"
Tekken Tag Tournament 2: Wii U Edition,"['Super Mario 3D World', 'The Legend of Zelda: Breath of the Wild', 'The Legend of Zelda: Skyward Sword', 'Super Smash Bros. Brawl', 'Super Smash Bros. for Wii U']"
Call of Duty: Modern Warfare Remastered,"['Call of Duty: Modern Warfare 3', 'Battlefield 3', 'Call of Duty: Black Ops', 'The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim']"
Hearts of Iron II,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Legend of Zelda: Breath of the Wild', 'The Last of Us']"
Pinball Hall of Fame: The Williams Collection,"['""Uncharted 4: A Thiefs End""', 'Super Mario 3D World', 'The Witcher 3: Wild Hunt', 'The Legend of Zelda: Breath of the Wild', 'Pinball FX 2']"
Final Fantasy XIII,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'BioShock Infinite', 'The Last of Us', 'Final Fantasy XV']"
NCAA Football 10,"['The Witcher 3: Wild Hunt', 'Grand Theft Auto V', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'Portal 2']"
Star Wars Pinball,"['The Witcher 3: Wild Hunt', 'Portal 2', 'The Last of Us', 'The Elder Scrolls V: Skyrim', 'Persona 5']"
Project CARS,"['Grand Theft Auto V', 'The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'Gran Turismo 5', 'Forza Horizon 2']"
Crush,"['The Legend of Zelda: Breath of the Wild', 'Portal 2', 'The Witcher 3: Wild Hunt', 'Super Mario 3D World', 'The Last of Us']"
Yakuza 6: The Song of Life,"['Portal 2', 'The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'Yakuza 0']"
Guardian Heroes,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Breath of the Wild']"
Freedom Fighters,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Legend of Zelda: Breath of the Wild', 'Portal 2']"
Icewind Dale II,"['The Witcher 3: Wild Hunt', 'The Witcher 2: Assassins of Kings', 'The Last of Us', '""Uncharted 4: A Thiefs End""', 'Persona 5']"
Age of Empires,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim', 'Company of Heroes', 'Grand Theft Auto V']"
EverQuest II: Echoes of Faydwer,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'Grand Theft Auto V', 'The Last of Us']"
Pocket Card Jockey,"['The Witcher 3: Wild Hunt', 'The Legend of Zelda: Breath of the Wild', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'BioShock Infinite']"
Dragon Quest Builders,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Breath of the Wild', '""Uncharted 4: A Thiefs End""', 'The Last of Us']"
Transistor,"['The Witcher 3: Wild Hunt', 'The Legend of Zelda: Breath of the Wild', 'Pyre', 'BioShock Infinite', '""Uncharted 4: A Thiefs End""']"
Bleach: The Blade of Fate,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'Grand Theft Auto V', 'The Last of Us', 'The Elder Scrolls V: Skyrim']"
Lumines: Electronic Symphony,"['The Witcher 3: Wild Hunt', 'Persona 5', 'The Legend of Zelda: Breath of the Wild', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Skyward Sword']"
Splatoon 2,"['Portal 2', 'The Legend of Zelda: Breath of the Wild', 'Call of Duty: Modern Warfare 3', 'The Elder Scrolls V: Skyrim', 'Super Smash Bros. Brawl']"
Everyday Shooter,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim', 'The Last of Us', 'Grand Theft Auto V']"
Crackdown,"['Grand Theft Auto V', 'The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Legend of Zelda: Breath of the Wild']"
EverQuest II,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim', 'Grand Theft Auto V', 'The Last of Us']"
Call of Duty 3,"['Battlefield 3', 'Fallout 4', '""Uncharted 4: A Thiefs End""', 'The Witcher 3: Wild Hunt', 'Call of Duty: Modern Warfare 3']"
Card Hunter (2013),"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Legend of Zelda: Breath of the Wild', 'The Last of Us']"
This War of Mine,"['The Elder Scrolls V: Skyrim', 'The Witcher 3: Wild Hunt', 'The Legend of Zelda: Breath of the Wild', '""Uncharted 4: A Thiefs End""', 'Portal 2']"
Picross DS,"['The Witcher 3: Wild Hunt', 'The Legend of Zelda: Breath of the Wild', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'Grand Theft Auto: Chinatown Wars']"
Spider-Man 2,"['The Witcher 3: Wild Hunt', '""Marvels Spider-Man""', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Last of Us']"
Oddworld: Stranger's Wrath HD,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Breath of the Wild', 'Portal 2']"
NHL 13,"['Portal 2', 'The Elder Scrolls V: Skyrim', 'Call of Duty: Modern Warfare 3', 'The Legend of Zelda: Breath of the Wild', 'The Witcher 3: Wild Hunt']"
Madden NFL 13,"['Call of Duty: Modern Warfare 3', '""Uncharted 4: A Thiefs End""', 'The Legend of Zelda: Breath of the Wild', 'Portal 2', 'Grand Theft Auto V']"
Fallout: New Vegas - Old World Blues,"['The Witcher 3: Wild Hunt', 'Portal 2', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim', 'Grand Theft Auto V']"
Darksiders,"['The Witcher 3: Wild Hunt', 'God of War', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'God of War III']"
Clubhouse Games,"['Grand Theft Auto V', 'The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'Portal 2', 'The Elder Scrolls V: Skyrim']"
Super Puzzle Fighter II,"['Portal 2', 'The Witcher 3: Wild Hunt', 'Grand Theft Auto V', 'The Last of Us', 'BioShock Infinite']"
Tom Clancy's Rainbow Six 3: Raven Shield,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Legend of Zelda: Breath of the Wild', 'Portal 2']"
Xenosaga Episode I: Der Wille zur Macht,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim', 'The Last of Us', 'BioShock Infinite']"
World of Outlaws: Sprint Cars,"['The Elder Scrolls V: Skyrim', 'Grand Theft Auto V', 'Halo 4', 'The Legend of Zelda: Skyward Sword', 'Call of Duty: Modern Warfare 2']"
Colin McRae Rally 2.0,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim', 'The Last of Us', 'Grand Theft Auto V']"
Resistance 3,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim', 'The Last of Us', 'The Legend of Zelda: Breath of the Wild']"
Orcs Must Die! 2,"['Portal 2', 'Battlefield 3', 'Call of Duty: Modern Warfare 3', 'The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim']"
Ratchet & Clank Collection,"['""Uncharted 4: A Thiefs End""', 'The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'Grand Theft Auto V', 'The Last of Us']"
Picross 3D,"['The Legend of Zelda: Breath of the Wild', 'Portal 2', 'The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'The Witness']"
Gunstar Super Heroes,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'Grand Theft Auto V', 'The Legend of Zelda: Breath of the Wild']"
Stretchmo,"['The Legend of Zelda: Breath of the Wild', 'The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'Portal 2', 'Super Smash Bros. Brawl']"
Mighty Flip Champs!,"['The Elder Scrolls V: Skyrim', 'The Witcher 3: Wild Hunt', 'The Legend of Zelda: Breath of the Wild', 'Grand Theft Auto V', 'Persona 5']"
Persona 2: Eternal Punishment,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim', 'Grand Theft Auto V', 'The Last of Us']"
Prey (2006),"['The Witcher 3: Wild Hunt', 'The Last of Us', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'Prey']"
Yoku's Island Express,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Breath of the Wild', '""Uncharted 4: A Thiefs End""', 'BioShock Infinite']"
LEGO Marvel Super Heroes,"['The Witcher 3: Wild Hunt', 'The Last of Us', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Breath of the Wild']"
Metal Gear Rising: Revengeance,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'God of War', 'Metal Gear Solid 4: Guns of the Patriots']"
Crisis Core: Final Fantasy VII,"['""Uncharted 4: A Thiefs End""', 'The Witcher 3: Wild Hunt', 'The Last of Us', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Breath of the Wild']"
Starseed Pilgrim,"['""Uncharted 4: A Thiefs End""', 'The Witcher 3: Wild Hunt', 'The Last of Us', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Breath of the Wild']"
Age of Conan: Rise of the Godslayer,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Breath of the Wild', 'WildStar', 'Age of Conan: Hyborian Adventures']"
Trine,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'Grand Theft Auto V', '""Uncharted 4: A Thiefs End""', 'The Legend of Zelda: Breath of the Wild']"
Alan Wake,"['The Last of Us', 'The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'BioShock Infinite', 'The Elder Scrolls V: Skyrim']"
Karaoke Revolution,"['The Witcher 3: Wild Hunt', 'Destiny: The Taken King', 'The Legend of Zelda: Breath of the Wild', 'The Elder Scrolls V: Skyrim', 'Guild Wars 2: Heart of Thorns']"
NBA Live 2003,"['""Uncharted 4: A Thiefs End""', 'The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Breath of the Wild', 'World of Warcraft']"
Monaco: What's Yours Is Mine,"['The Witcher 3: Wild Hunt', 'Portal 2', 'Battlefield 3', 'Call of Duty: Modern Warfare 3', 'The Elder Scrolls V: Skyrim']"
Castle Crashers Remastered,"['""Uncharted 4: A Thiefs End""', 'The Witcher 3: Wild Hunt', 'Grand Theft Auto V', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Breath of the Wild']"
