Title,Recommendations
The Elder Scrolls IV: Oblivion,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'The Legend of Zelda: Breath of the Wild']"
Sid Meier's Civilization II,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Breath of the Wild', '""Sid Meiers Civilization IV""', '""Sid Meiers Civilization II""']"
Quake,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'DOOM', 'Team Fortress 2']"
Halo 3,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'Battlefield 3', 'Call of Duty: Modern Warfare 3', 'The Elder Scrolls V: Skyrim']"
Ninja Gaiden Black,"['The Witcher 3: Wild Hunt', 'The Last of Us', 'Bloodborne', 'The Witcher 2: Assassins of Kings', 'The Elder Scrolls V: Skyrim']"
Street Fighter IV,"['The Witcher 3: Wild Hunt', 'Super Smash Bros. Brawl', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'The Elder Scrolls V: Skyrim']"
Celeste,"['The Witcher 3: Wild Hunt', 'The Legend of Zelda: Breath of the Wild', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Last of Us']"
Super Mario Advance 4: Super Mario Bros. 3,"['The Elder Scrolls V: Skyrim', 'The Witcher 3: Wild Hunt', 'Super Mario 3D World', '""Uncharted 4: A Thiefs End""', 'The Last of Us']"
Jet Grind Radio,"['The Witcher 3: Wild Hunt', 'The Legend of Zelda: Breath of the Wild', '""Uncharted 4: A Thiefs End""', 'Portal 2', 'BioShock Infinite']"
Metal Gear Solid,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'The Elder Scrolls V: Skyrim', 'Grand Theft Auto V']"
Grim Fandango,"['""Uncharted 4: A Thiefs End""', 'The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Breath of the Wild', 'Grand Theft Auto V']"
Tom Clancy's Splinter Cell Chaos Theory,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'Grand Theft Auto V', 'Portal 2', 'The Legend of Zelda: Breath of the Wild']"
Burnout 3: Takedown,"['The Elder Scrolls V: Skyrim', 'The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'Grand Theft Auto V']"
Diablo,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Legend of Zelda: Breath of the Wild', 'The Last of Us']"
Metal Gear Solid 3: Subsistence,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'Metal Gear Solid 4: Guns of the Patriots', 'Metal Gear Solid V: The Phantom Pain']"
Metal Gear Solid 4: Guns of the Patriots,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'The Elder Scrolls V: Skyrim', 'BioShock Infinite']"
NCAA Football 2004,"['The Elder Scrolls V: Skyrim', 'The Witcher 3: Wild Hunt', 'Grand Theft Auto V', 'Call of Duty: Modern Warfare 3', 'The Legend of Zelda: Breath of the Wild']"
Star Wars: Knights of the Old Republic,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'The Legend of Zelda: Breath of the Wild']"
Sid Meier's Civilization IV,"['""Sid Meiers Civilization IV""', 'The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'The Elder Scrolls V: Skyrim']"
Virtua Fighter 4,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim', 'The Last of Us', 'The Legend of Zelda: Breath of the Wild']"
Super Mario 64,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'Super Mario Odyssey', 'Super Mario Galaxy']"
The Witcher 3: Wild Hunt,"['""Uncharted 4: A Thiefs End""', 'The Last of Us', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Breath of the Wild', 'Grand Theft Auto V']"
Super Smash Bros. Brawl,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'Grand Theft Auto V', 'The Elder Scrolls V: Skyrim']"
Company of Heroes,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'Starcraft II: Wings of Liberty', 'The Legend of Zelda: Breath of the Wild']"
